municipality_name,municipality_type,ward_no,latitude,longitude,population,household_size,households,road_distance_km,highway_distance_km,hospital_distance_km,school_distance_km,bank_distance_km,market_distance_km,bus_stop_distance_km,tourist_distance_km,electricity_access_pct,internet_access_pct,water_access_pct,average_income_npr,land_price_per_kattha_npr,rent_price_npr,commercial_buildings,industries,agriculture_pct,footfall_index,crime_rate_index,flood_risk_index,landslide_risk_index,purchasing_power_index,business_density,urbanization_rate,development_index,investment_score,recommended_business,business_success_probability
Kotahimai,Rural,4,27.715568,83.556879,1537,5.21,294,2.51,13.52,7.06,2.94,9.37,4.5,4.06,8.01,52.96,7.55,68.63,12259.92,1748684.79,2122.46,10,1,76.99,15.74,2.36,7.74,1.5,39.26,6.51,57.01,29.75,4.8,Cold Storage,0.5873
Devdaha,Semi-Urban,9,27.472219,83.339385,3342,5.05,661,0.96,7.7,4.89,2.5,3.81,2.29,3.28,3.47,89.18,81.29,81.43,5000.0,3144622.35,13790.43,75,2,23.99,34.47,2.68,3.44,0.36,3.38,22.44,100.0,75.2,36.87,Handicraft Shop,0.4344
Omsatiya,Rural,4,27.488322,83.53391,695,6.24,111,3.42,3.28,11.21,2.93,7.92,4.88,4.96,7.93,69.6,64.18,78.76,23005.55,1075191.57,2145.32,5,2,78.21,13.71,1.63,7.34,1.16,73.14,5.0,29.39,56.48,19.17,Agro-vet Clinic,0.95
Sainamaina,Semi-Urban,4,27.622465,83.385944,3430,4.69,730,2.72,1.17,6.78,0.9,4.86,2.75,1.62,5.02,91.52,55.18,85.23,47801.19,7242454.04,9380.86,49,2,71.17,45.92,3.6,2.06,0.91,46.05,14.29,100.0,66.08,47.3,Bookstore,0.95
Butwal,Urban,10,27.667745,83.560205,4683,4.21,1111,0.79,1.92,1.48,1.23,1.82,0.71,0.37,36.87,96.21,94.17,98.77,46768.6,19516808.75,28738.61,185,10,10.44,86.87,4.79,4.15,1.28,15.73,39.5,100.0,88.93,72.6,Pharmacy,0.8352
Kanchan,Rural,1,27.451079,83.241519,693,5.21,132,3.49,13.26,10.86,4.11,8.06,5.31,7.6,14.53,73.15,65.46,53.87,16801.34,2619855.8,1642.86,11,1,76.73,13.79,1.01,2.6,1.15,63.57,11.0,32.17,49.89,18.12,Fertilizer Store,0.95
Omsatiya,Rural,5,27.676788,83.65377,1440,5.88,244,0.91,12.25,4.28,4.29,5.62,5.11,3.25,14.97,86.14,22.94,91.27,16882.61,2457419.39,3357.21,13,0,93.34,29.9,1.49,9.04,0.23,38.75,9.03,50.4,57.74,35.59,Dairy Farm,0.822
Sainamaina,Semi-Urban,7,27.727942,83.560504,2699,5.08,531,0.68,4.48,3.51,2.97,0.73,1.81,1.77,17.45,80.37,68.7,76.78,14059.15,5476037.57,7002.54,49,7,50.41,55.87,3.07,0.27,1.1,17.57,18.15,100.0,68.26,50.71,Agro-vet Clinic,0.6804
Devdaha,Semi-Urban,9,27.636372,83.5626,2297,4.93,465,0.22,3.03,3.55,3.05,4.77,3.78,2.6,27.52,93.21,45.77,99.0,5000.0,9404141.25,8359.86,86,2,41.39,53.72,2.45,2.74,1.12,5.34,37.44,100.0,71.09,37.74,Cold Storage,0.4423
Devdaha,Semi-Urban,5,27.446773,83.631826,2490,4.59,541,2.33,0.26,8.25,2.8,1.53,3.74,1.73,11.54,86.49,70.6,68.49,52378.12,13347665.6,6182.13,26,4,35.15,65.68,4.02,1.78,1.67,72.93,10.44,100.0,63.72,58.64,Fashion Boutique,0.95
Devdaha,Semi-Urban,2,27.712472,83.623999,2857,5.25,544,2.37,2.32,6.23,1.38,2.53,3.07,1.37,22.2,90.74,70.7,81.61,5000.0,10827891.65,10392.09,53,2,36.48,53.9,3.52,4.29,0.77,4.39,18.55,100.0,71.23,38.47,Tutoring Center,0.359
Gaidahawa,Rural,4,27.698185,83.409721,1745,5.38,324,3.57,14.31,9.01,3.15,8.38,6.0,4.27,30.68,86.71,35.92,74.74,17170.08,1806898.05,2695.89,7,0,73.85,24.62,1.88,9.05,1.49,46.46,4.01,63.0,51.85,31.24,Agro-vet Clinic,0.829
Marchawari,Rural,7,27.701529,83.471554,987,6.21,158,8.01,6.79,10.03,4.45,7.25,5.38,3.35,3.01,72.03,27.04,91.32,20240.96,2870529.88,1161.47,9,1,72.47,22.69,0.75,2.39,0.05,93.64,9.0,41.47,47.83,27.17,Cold Storage,0.95
Omsatiya,Rural,5,27.409556,83.647727,1878,5.64,333,3.51,7.41,5.29,1.99,3.84,3.54,4.52,29.13,90.09,0.0,83.42,28256.32,2335774.36,1221.75,3,1,80.93,13.7,0.31,6.53,0.37,127.18,1.6,63.26,50.22,27.54,Fertilizer Store,0.95
Marchawari,Rural,3,27.540905,83.561084,1569,5.11,307,1.52,1.62,9.55,4.36,9.15,5.87,5.97,22.35,70.67,57.85,75.35,19817.96,2393148.83,1998.85,5,0,85.14,14.11,1.26,8.02,0.97,66.09,3.19,53.53,54.41,28.17,Fertilizer Store,0.95
Kanchan,Rural,3,27.428141,83.563061,1108,5.48,202,3.0,5.05,14.96,1.47,4.06,4.11,2.31,4.74,81.55,29.44,82.37,18893.63,1404729.13,4272.33,4,0,74.13,8.79,1.61,8.14,1.5,35.84,3.61,42.6,51.09,11.79,Stationery Shop,0.7339
Lumbini Sanskritik,Semi-Urban,1,27.76609,83.517229,3203,5.14,623,0.88,3.21,5.74,1.75,3.13,0.99,2.32,2.87,91.91,57.44,91.07,114009.88,4939844.43,12008.15,76,3,60.92,35.48,2.57,2.14,0.87,87.64,23.73,100.0,71.82,49.17,Fertilizer Store,0.95
Gaidahawa,Rural,4,27.495382,83.318798,1363,5.93,229,1.51,11.88,24.39,5.43,5.1,4.78,5.58,34.12,57.65,23.77,79.76,18166.71,2154368.93,3516.33,1,0,71.45,27.77,1.15,6.11,1.62,40.22,0.73,49.85,34.36,21.62,Cold Storage,0.7651
Gaidahawa,Rural,6,27.40566,83.29214,914,5.1,179,6.22,7.85,19.49,1.84,2.79,11.0,4.62,23.99,83.23,42.84,81.58,21882.29,2901616.19,3167.39,15,2,81.96,24.81,1.04,9.36,0.59,52.51,15.0,38.83,53.01,28.77,Cold Storage,0.95
Mayadevi,Rural,1,27.706329,83.479834,854,6.21,137,3.84,11.38,6.42,6.1,10.14,4.75,6.88,16.05,48.89,9.85,70.94,20266.84,2169259.52,4250.39,2,0,66.06,7.07,1.54,0.73,1.93,38.6,2.0,36.6,28.44,14.46,Fertilizer Store,0.8309
Butwal,Urban,3,27.715948,83.636275,2723,4.13,659,0.4,1.84,1.39,1.77,0.27,0.35,0.75,19.19,97.28,85.96,96.92,37381.17,25934446.6,31895.02,298,12,10.78,83.5,3.51,4.23,1.58,11.36,109.44,100.0,87.97,83.2,Pharmacy,0.7632
Devdaha,Semi-Urban,10,27.428754,83.370989,1899,5.08,373,1.44,3.87,5.06,0.62,5.46,1.87,3.1,4.99,86.62,65.75,88.17,5000.0,8885463.58,10268.86,51,7,28.32,51.95,1.17,3.99,0.77,4.44,26.86,98.87,72.73,43.96,Stationery Shop,0.399
Gaidahawa,Rural,3,27.73788,83.254164,883,5.13,172,0.28,8.92,7.96,0.82,8.35,0.62,2.15,6.05,86.67,38.38,67.63,15844.92,2461189.26,2867.63,3,0,75.65,23.67,1.58,6.58,0.71,40.97,3.0,34.99,53.94,23.34,Stationery Shop,0.95
Tilottama,Urban,17,27.632007,83.434729,6987,4.12,1696,0.11,2.66,2.16,0.68,0.34,1.38,0.71,24.89,96.23,83.17,90.58,35559.52,22300139.64,38542.93,160,13,9.84,55.92,2.93,0.51,0.02,8.99,22.9,100.0,85.41,54.98,Bookstore,0.5517
Tilottama,Urban,4,27.433315,83.213403,8206,4.06,2019,0.25,0.77,1.64,0.77,0.76,1.23,0.05,5.76,94.46,94.48,89.46,58373.76,16809903.71,34717.86,154,6,8.39,61.88,4.61,3.95,1.42,16.34,18.77,100.0,86.48,58.38,Polyclinic,0.8459
Omsatiya,Rural,6,27.622971,83.251363,1144,5.76,198,6.95,9.75,14.79,0.29,8.56,0.97,2.55,14.93,81.13,10.45,71.15,20674.23,1145230.44,3925.49,0,2,77.43,18.45,1.75,4.93,1.99,41.97,0.0,41.09,37.21,27.07,Stationery Shop,0.7781
Mayadevi,Rural,8,27.662813,83.277074,1053,5.75,183,5.58,3.57,20.84,4.28,1.15,3.34,0.15,22.85,63.29,26.7,94.02,16489.27,1797582.28,2199.47,15,2,66.62,2.79,1.25,0.57,1.57,51.54,14.25,47.6,44.17,19.26,Fertilizer Store,0.95
Rohini,Rural,3,27.425362,83.259313,530,5.11,103,1.57,2.34,10.92,3.79,5.39,7.48,4.55,8.84,63.57,21.73,88.43,13988.54,1323424.96,3074.35,11,1,72.73,35.18,1.91,8.6,0.64,34.33,11.0,28.48,45.16,38.62,Dairy Farm,0.7541
Kotahimai,Rural,1,27.564414,83.527551,428,5.48,78,4.07,9.49,12.62,2.81,3.19,4.46,4.43,22.88,55.37,21.79,75.74,16568.82,1359158.75,3115.22,8,0,75.49,14.1,1.52,2.57,0.35,40.26,8.0,23.39,38.1,19.66,Dairy Farm,0.9263
Devdaha,Semi-Urban,3,27.633789,83.451471,1488,4.62,322,2.41,0.32,4.74,1.55,2.91,3.4,2.3,19.9,84.22,50.15,87.51,25672.12,9666220.82,10428.73,53,7,68.83,55.98,5.58,3.98,1.94,22.46,35.62,75.19,62.57,48.54,Fertilizer Store,0.6578
Siddharthanagar,Urban,5,27.593561,83.545305,2283,4.9,466,0.05,1.78,2.94,0.79,1.83,1.44,0.42,1.68,97.05,89.47,89.22,40667.36,15200229.52,39165.75,177,17,6.86,106.73,3.71,3.22,0.47,10.12,77.53,100.0,85.4,82.58,Tutoring Center,0.9256
Siyari,Rural,7,27.713679,83.246993,597,6.29,94,4.67,5.89,13.49,2.57,4.72,3.13,6.06,8.14,96.48,68.25,84.02,19601.56,1802587.51,5389.17,11,0,72.74,2.53,1.44,4.23,0.88,30.68,11.0,30.49,68.74,22.84,Dairy Farm,0.639
Sammarimai,Rural,4,27.789164,83.493728,1201,6.24,192,2.78,14.2,19.23,2.08,7.21,3.56,3.71,3.8,99.87,17.17,52.21,16022.66,4996303.38,4472.82,0,0,73.71,29.86,0.56,3.3,0.38,29.28,0.0,43.92,40.21,20.77,Fertilizer Store,0.7781
Devdaha,Semi-Urban,2,27.74345,83.390205,1851,5.15,359,2.37,4.18,5.75,2.64,3.74,2.2,0.06,26.33,83.29,34.04,82.32,5000.0,6811717.42,8224.86,54,5,33.71,30.59,3.13,4.79,1.58,5.42,29.17,97.02,56.18,38.34,Tailoring Shop,0.3493
Siddharthanagar,Urban,1,27.564755,83.427821,4642,4.46,1039,1.19,2.49,0.42,0.54,1.38,0.15,1.23,10.38,98.47,97.39,100.0,52444.55,19919319.56,24500.25,198,20,18.23,62.12,4.12,2.28,1.6,20.57,42.65,100.0,92.74,66.49,Polyclinic,0.9302
Sainamaina,Semi-Urban,11,27.618962,83.51698,4156,5.39,771,3.24,2.91,1.47,3.38,3.86,2.05,2.31,0.48,90.68,63.63,94.25,81167.03,11955784.58,6662.79,10,6,54.49,32.39,1.1,2.88,0.73,105.92,2.41,100.0,75.78,48.64,Polyclinic,0.95
Lumbini Sanskritik,Semi-Urban,6,27.600872,83.413695,3391,4.73,716,0.56,4.11,9.84,2.51,2.02,3.72,1.54,3.05,87.4,65.03,100.0,91192.79,13881537.91,12988.54,25,6,64.35,19.64,2.48,2.72,0.26,65.19,7.37,100.0,74.19,53.54,Dairy Farm,0.95
Siyari,Rural,4,27.771251,83.390386,598,5.7,104,0.5,14.12,12.35,3.0,2.69,2.43,4.04,18.83,70.66,32.63,50.07,24402.94,1771216.38,3784.09,9,0,84.29,15.33,1.0,3.6,1.17,51.01,9.0,26.25,40.86,23.99,Agro-vet Clinic,0.95
Omsatiya,Rural,6,27.632309,83.530445,1711,5.96,286,3.39,8.86,14.26,1.39,6.07,3.88,2.77,13.56,64.9,58.62,64.47,29323.7,2620366.39,3007.96,15,0,75.75,16.38,1.7,1.61,1.33,73.16,8.77,64.6,48.41,29.09,Stationery Shop,0.95
Tilottama,Urban,12,27.537255,83.22839,3294,4.13,798,0.25,1.85,0.82,1.37,0.11,1.26,0.53,26.53,97.1,91.92,100.0,48644.27,24680244.31,21612.21,168,18,11.19,75.65,5.21,4.15,1.02,21.51,51.0,100.0,89.85,59.01,Polyclinic,0.7783
Sammarimai,Rural,2,27.671281,83.499799,1730,5.57,310,1.73,0.83,19.03,5.11,8.62,0.99,3.28,18.96,90.11,0.0,62.16,12205.14,3040401.82,4102.61,11,1,74.6,25.9,1.02,0.67,0.65,23.92,6.36,63.92,32.49,28.41,Dairy Farm,0.803
Devdaha,Semi-Urban,7,27.679524,83.37543,1861,5.07,367,3.35,1.0,5.45,1.62,0.99,4.86,0.3,0.38,81.32,69.88,84.46,160783.34,8310197.07,8292.81,49,0,56.32,55.21,2.25,4.92,0.03,173.02,26.33,88.53,70.6,63.0,Cold Storage,0.95
Sudhodhan,Rural,4,27.535067,83.591076,977,5.82,167,3.4,8.9,11.61,4.68,6.86,6.78,3.48,11.67,94.35,33.55,61.03,21635.21,983420.21,2870.46,15,1,68.49,23.11,0.43,1.02,1.62,55.9,15.0,44.76,49.28,29.98,Fertilizer Store,0.95
Omsatiya,Rural,4,27.415273,83.340093,1229,5.15,238,0.74,9.91,7.78,2.24,11.79,3.32,5.44,15.72,90.11,35.7,75.47,11177.53,2856698.38,2553.34,14,0,84.79,22.72,1.13,2.65,1.28,31.46,11.39,47.03,54.69,33.89,Fertilizer Store,0.9479
Gaidahawa,Rural,7,27.733043,83.274483,1098,6.45,170,1.34,5.35,1.67,1.15,7.04,2.45,4.83,36.86,100.0,0.0,55.41,22171.12,1910667.44,2468.11,12,1,67.31,34.92,1.82,7.28,1.42,63.93,10.93,47.55,44.38,31.97,Tutoring Center,0.95
Lumbini Sanskritik,Semi-Urban,2,27.497139,83.636419,3018,5.32,566,1.24,4.37,5.0,1.26,2.89,1.92,0.27,4.38,84.45,69.4,58.96,5000.0,10574419.18,3514.93,30,8,46.26,42.09,4.49,3.19,0.64,11.07,9.94,100.0,61.25,31.84,Stationery Shop,0.3048
Sainamaina,Semi-Urban,1,27.577476,83.419632,2611,4.89,534,1.58,6.27,2.1,2.36,1.18,2.83,2.29,14.18,87.63,68.5,87.52,17724.06,3906880.87,6727.85,37,1,31.4,48.48,2.59,3.12,1.88,22.94,14.17,100.0,75.03,44.02,Mobile Repair Shop,0.828
Lumbini Sanskritik,Semi-Urban,2,27.508358,83.323949,2201,5.07,434,0.8,5.47,1.68,0.6,2.38,2.07,2.03,3.06,90.78,90.44,75.88,5000.0,4288895.95,7179.09,11,6,58.29,68.14,0.96,2.53,1.27,6.11,5.0,82.94,82.01,54.77,Pharmacy,0.5993
Kanchan,Rural,5,27.418108,83.372141,2026,5.25,385,5.78,1.01,7.52,1.11,13.42,7.2,3.32,9.41,97.69,55.16,89.66,16455.57,1122726.19,2886.29,5,0,91.32,26.72,0.79,0.07,0.62,42.34,2.47,65.39,66.13,36.37,Stationery Shop,0.95
Gaidahawa,Rural,8,27.701651,83.42481,1322,6.22,212,6.56,6.8,8.29,4.24,3.5,2.82,5.21,17.93,100.0,1.63,59.01,15237.14,500000.0,2145.11,12,0,83.67,6.36,1.77,5.5,0.73,48.45,9.08,49.36,40.49,25.76,Dairy Farm,0.8615
Lumbini Sanskritik,Semi-Urban,10,27.500736,83.40213,2573,4.88,526,1.65,4.89,2.05,2.35,3.45,3.22,4.75,3.72,85.91,73.32,99.96,40832.97,4077071.2,4615.31,66,6,41.92,55.65,3.48,3.79,1.73,72.72,25.65,100.0,78.16,50.47,Fertilizer Store,0.95
Sudhodhan,Rural,7,27.725042,83.356759,1042,5.86,177,4.18,5.3,20.77,5.5,11.95,7.28,2.73,28.86,67.36,49.79,86.2,18966.18,1948149.73,4196.27,2,0,77.42,17.54,2.56,5.89,1.89,36.5,1.92,38.83,44.02,15.01,Dairy Farm,0.54
Siyari,Rural,5,27.650211,83.649319,1691,5.03,336,1.58,13.89,18.94,4.55,7.27,4.64,5.0,26.45,96.51,25.72,65.9,23308.05,1600083.61,1681.24,1,1,68.95,28.96,0.13,4.48,1.5,86.93,0.59,60.44,46.41,23.4,Agro-vet Clinic,0.95
Butwal,Urban,5,27.681184,83.392064,6007,4.48,1339,0.55,1.26,0.28,1.79,0.9,0.52,0.17,31.51,98.19,88.93,93.55,61329.73,21250765.04,30499.9,125,15,11.34,76.74,3.35,2.6,0.15,19.47,20.81,100.0,88.45,71.71,Pharmacy,0.95
Gaidahawa,Rural,8,27.750529,83.449996,826,5.0,165,4.13,3.63,0.44,2.09,8.13,6.27,2.79,25.2,68.55,31.4,75.7,15062.11,1405895.07,5024.79,18,0,91.43,42.05,2.55,5.59,0.15,25.0,18.0,34.55,48.6,25.05,Fertilizer Store,0.4513
Devdaha,Semi-Urban,7,27.797111,83.432844,1945,5.42,358,1.25,0.47,8.81,1.33,0.78,2.54,2.51,1.45,83.3,60.5,100.0,51048.75,7048965.21,11609.45,29,5,25.7,9.98,1.09,4.28,0.34,40.48,14.91,92.24,74.09,44.47,Stationery Shop,0.95
Kotahimai,Rural,1,27.685559,83.691673,1823,5.27,345,2.6,4.65,14.07,3.95,11.03,6.17,0.49,24.67,65.05,16.21,59.02,6983.2,3139562.66,3998.53,10,1,80.75,21.59,2.4,9.23,0.68,13.97,5.49,64.46,28.53,13.17,Cold Storage,0.165
Tilottama,Urban,9,27.758146,83.324025,3703,4.77,776,0.72,2.39,1.97,1.48,1.61,0.59,0.66,13.9,98.91,88.98,99.33,37207.52,21432137.54,28642.04,51,26,24.15,67.48,4.92,4.7,0.0,12.55,13.77,100.0,87.92,51.48,Pharmacy,0.4388
Sammarimai,Rural,1,27.488575,83.403901,1413,5.14,274,4.76,8.04,8.53,4.82,10.68,7.78,5.1,25.33,64.48,4.89,35.25,18972.84,1664867.4,1066.7,4,0,94.42,26.36,0.46,7.28,1.89,91.8,2.83,45.66,20.02,26.45,Cold Storage,0.95
Mayadevi,Rural,6,27.733441,83.615692,1162,5.02,231,2.39,12.34,12.88,4.24,8.49,4.18,3.73,12.39,82.63,10.48,59.13,18271.09,1984280.97,2982.65,10,0,73.17,20.36,2.01,3.58,1.12,45.88,8.61,46.91,34.74,16.95,Cold Storage,0.95
Devdaha,Semi-Urban,7,27.516449,83.434088,3477,4.82,720,2.51,3.21,0.07,4.08,3.88,0.99,3.4,34.4,84.76,48.38,76.08,152724.99,6356175.17,15116.86,4,7,60.46,80.13,2.58,0.91,1.5,94.76,1.15,100.0,61.9,62.96,Medical Supply Store,0.95
Mayadevi,Rural,8,27.740531,83.415674,1285,5.97,215,6.39,3.09,21.56,2.07,7.63,6.02,4.14,26.89,73.31,17.17,62.31,12915.72,2042891.52,3709.88,4,1,90.48,23.53,2.4,8.1,1.97,27.42,3.11,43.01,29.71,18.97,Cold Storage,0.3514
Siyari,Rural,6,27.475957,83.432614,2150,5.66,379,2.98,6.9,11.47,0.23,2.96,5.97,3.07,1.99,58.37,55.95,59.48,18202.3,1348032.34,2183.77,9,0,63.33,25.59,2.19,9.15,0.66,57.17,4.19,79.1,46.92,24.38,Bookstore,0.9037
Sudhodhan,Rural,2,27.403011,83.30366,1558,5.01,311,2.8,11.57,13.51,2.71,8.77,7.66,4.36,27.4,53.32,61.45,95.04,21151.19,2405883.96,3142.56,10,0,68.59,11.2,-0.11,9.61,0.15,51.06,6.42,60.16,56.15,19.48,Dairy Farm,0.95
Siddharthanagar,Urban,1,27.724357,83.215572,1648,4.09,402,0.02,2.69,1.29,0.94,0.79,0.48,0.87,20.67,95.28,89.57,90.78,46339.13,25911428.96,30876.44,204,18,14.18,66.31,5.16,1.4,0.03,14.54,123.79,100.0,85.2,80.96,Pharmacy,0.8617
Lumbini Sanskritik,Semi-Urban,9,27.455715,83.363962,1672,5.1,328,1.91,7.8,3.99,1.75,4.39,2.2,2.4,0.79,88.36,57.83,100.0,5000.0,13477839.87,9011.68,20,6,39.47,58.99,2.57,2.88,0.29,4.99,11.96,76.32,73.47,49.47,Travel Agency,0.4184
Gaidahawa,Rural,8,27.568649,83.249867,1116,5.85,190,2.36,8.52,18.37,4.64,10.86,2.02,4.25,6.33,69.78,41.9,57.26,17984.66,1262597.8,3259.43,0,2,52.15,29.05,1.04,5.34,0.42,42.22,0.0,47.84,37.16,27.89,Cold Storage,0.95
Lumbini Sanskritik,Semi-Urban,2,27.429144,83.650754,3400,4.78,711,0.64,4.44,5.06,0.46,4.26,4.46,1.54,1.23,94.3,63.28,74.03,23574.5,9360048.31,5619.1,35,5,21.1,57.85,4.22,0.18,1.61,35.62,10.29,100.0,67.77,43.95,Bookstore,0.95
Gaidahawa,Rural,6,27.546586,83.314927,1597,6.16,259,0.27,3.16,5.67,1.61,6.44,5.4,4.83,26.97,59.78,26.43,69.16,21871.05,851788.96,1116.24,9,0,70.39,12.44,1.96,5.94,0.85,103.35,5.64,60.39,42.84,18.5,Agro-vet Clinic,0.95
Mayadevi,Rural,6,27.508036,83.399344,1141,5.62,202,0.49,8.07,12.44,3.39,4.72,8.03,5.74,8.57,73.44,27.7,62.89,17216.48,2756176.36,2553.17,16,0,94.91,17.03,2.04,5.23,1.04,48.45,14.02,42.16,42.1,17.28,Fertilizer Store,0.95
Omsatiya,Rural,1,27.657064,83.270518,1395,5.51,253,4.72,8.59,11.73,4.44,4.44,5.32,4.18,9.7,77.01,50.55,63.63,14928.15,1475390.22,4102.33,9,2,82.71,11.26,0.29,3.73,0.59,29.26,6.45,50.64,50.77,27.98,Agro-vet Clinic,0.8386
Mayadevi,Rural,7,27.73731,83.658789,1237,5.28,234,4.85,9.81,5.03,3.59,9.51,4.84,4.3,8.02,72.9,50.47,68.54,16877.3,748955.29,-14.25,5,2,90.19,3.57,0.66,3.68,0.14,171.21,4.04,42.05,51.82,15.65,Cold Storage,0.95
Sudhodhan,Rural,7,27.516336,83.557199,1424,6.42,221,4.52,7.25,20.18,1.08,9.52,8.07,2.75,27.19,80.65,27.56,44.21,18176.11,1583211.86,1478.33,12,1,86.06,25.55,0.85,4.99,0.95,73.34,8.43,51.7,32.3,21.79,Bookstore,0.95
Mayadevi,Rural,2,27.596395,83.590382,1477,5.54,266,3.75,2.64,6.41,4.89,2.77,3.73,3.44,20.81,82.07,33.08,23.83,16895.17,2853229.49,2030.16,17,0,75.37,32.6,3.3,5.68,0.94,55.76,11.51,58.5,34.11,13.8,Cold Storage,0.95
Kotahimai,Rural,4,27.564333,83.526098,1691,5.39,313,1.98,10.36,11.1,4.74,3.32,4.06,0.43,15.59,76.47,14.15,100.0,22096.8,2522252.27,2922.35,14,1,84.76,43.58,1.65,1.7,0.51,56.34,8.28,60.9,51.32,34.13,Dairy Farm,0.95
Kotahimai,Rural,1,27.493188,83.454992,294,6.3,46,1.06,9.73,14.58,3.14,7.79,7.57,1.77,24.6,78.39,41.45,81.98,21620.88,2955613.41,2594.5,17,1,88.74,6.91,2.03,0.58,1.51,60.15,17.0,19.0,51.95,26.15,Cold Storage,0.95
Gaidahawa,Rural,8,27.622197,83.610012,1280,5.92,216,0.14,8.61,10.65,2.05,6.13,3.36,3.54,9.03,73.35,49.77,63.87,22436.17,2557356.9,2756.55,13,0,77.87,35.54,1.39,5.21,0.04,59.73,10.16,50.24,51.45,22.79,Cold Storage,0.95
Sammarimai,Rural,1,27.673144,83.461754,1236,5.95,207,3.88,0.18,13.05,1.31,10.42,3.09,5.57,26.23,92.27,0.0,92.1,12733.26,2929050.23,1801.19,14,0,65.8,34.76,2.68,5.57,1.98,45.46,11.33,52.94,44.45,26.57,Stationery Shop,0.95
Gaidahawa,Rural,1,27.703487,83.484649,1284,5.86,219,5.8,10.15,10.98,4.07,7.57,5.37,2.25,8.75,61.59,36.58,52.61,18148.22,2264635.3,4115.75,3,0,93.06,36.76,0.66,7.11,0.35,35.48,2.34,41.8,35.38,25.99,Fertilizer Store,0.7562
Devdaha,Semi-Urban,7,27.70227,83.311338,2310,4.59,502,1.23,4.04,3.45,1.49,0.36,1.49,2.74,7.31,95.04,64.41,92.91,55683.74,3622320.93,7480.17,62,7,11.42,16.65,1.83,2.26,0.58,65.66,26.84,100.0,79.02,49.54,Stationery Shop,0.95
Kanchan,Rural,1,27.590826,83.538536,1348,5.87,229,0.94,10.11,19.21,2.54,4.41,2.94,4.59,23.26,35.55,56.49,62.59,11040.96,2888997.93,4382.85,10,1,69.74,20.46,2.28,7.68,0.89,20.51,7.42,53.52,35.72,11.63,Fertilizer Store,0.306
Butwal,Urban,3,27.514091,83.218912,2118,4.19,505,0.66,1.16,0.75,1.02,1.76,0.48,0.52,10.27,100.0,91.23,100.0,56690.33,15981736.53,29813.09,253,22,10.63,75.95,1.93,4.62,0.92,18.4,119.45,100.0,93.06,89.42,Pharmacy,0.95
Rohini,Rural,5,27.693871,83.476024,1472,5.01,293,2.53,9.48,11.26,7.04,6.9,0.28,5.5,2.61,92.41,44.4,87.64,18473.44,1335979.24,3523.1,17,0,86.52,11.24,1.49,7.0,0.89,40.84,11.55,55.01,59.46,21.82,Agro-vet Clinic,0.9251
Marchawari,Rural,6,27.798941,83.58596,1747,5.93,294,0.89,10.68,3.38,1.91,9.79,2.42,3.53,10.39,70.33,38.39,80.06,19424.47,1455528.82,3556.15,1,2,72.86,16.13,2.8,1.53,0.1,42.63,0.57,60.95,52.14,23.8,Fertilizer Store,0.95
Kotahimai,Rural,3,27.699985,83.448165,1335,5.13,260,4.03,4.67,16.5,2.22,8.66,7.16,4.85,12.89,66.46,33.71,58.99,15383.58,1391002.36,3630.58,14,2,82.42,34.69,0.96,6.44,0.03,33.22,10.49,50.92,36.39,32.92,Fertilizer Store,0.8007
Siyari,Rural,7,27.794375,83.493386,1614,5.14,313,4.32,9.35,20.42,3.94,4.93,5.45,0.87,0.87,66.67,23.85,64.15,12066.14,1984142.65,3838.48,7,1,88.77,46.71,1.25,2.15,1.99,24.94,4.34,54.59,33.5,23.14,Cold Storage,0.7022
Siddharthanagar,Urban,4,27.508859,83.524206,3321,4.78,694,0.18,2.41,0.45,0.8,1.54,0.3,0.28,37.33,98.05,90.19,89.61,36561.7,24763858.67,29766.84,159,17,5.8,81.06,5.24,3.82,0.29,11.88,47.88,100.0,85.89,64.09,Polyclinic,0.6935
Kotahimai,Rural,3,27.414759,83.517031,467,5.77,80,4.56,12.3,18.85,3.82,5.45,7.55,6.4,27.92,78.77,52.79,59.12,19368.07,1755974.34,3115.44,14,1,98.36,32.13,0.56,7.31,1.42,47.06,14.0,20.1,46.66,33.39,Cold Storage,0.9078
Gaidahawa,Rural,6,27.632579,83.625038,795,5.48,145,3.71,11.46,16.39,2.55,3.36,5.25,4.09,15.08,78.51,47.72,85.43,13023.51,1419456.31,2403.33,9,0,77.55,20.74,0.99,7.08,1.07,38.27,9.0,34.18,56.56,26.76,Cold Storage,0.7655
Kotahimai,Rural,1,27.444381,83.525032,1141,5.46,209,1.64,4.7,8.58,3.95,10.14,4.33,2.74,11.12,87.55,36.28,62.19,16549.19,2888825.5,3441.75,19,1,71.14,3.33,1.0,9.03,0.01,37.26,16.65,50.49,48.85,14.14,Dairy Farm,0.6016
Devdaha,Semi-Urban,11,27.421792,83.240212,2515,4.78,525,0.2,2.53,6.58,1.1,4.02,3.04,2.16,14.55,96.27,36.73,89.44,25555.74,5054573.25,5741.03,67,7,66.98,89.26,0.95,4.58,0.49,37.91,26.64,100.0,67.24,62.2,Tutoring Center,0.95
